,MSA,patents,exports,population,crime,Year
123,Spokane-WA,104,"82,34,01,134",547824,"1,517",2015
124,Kalamazoo-Portage-MI,100,"1,35,54,76,320",335340,"11,123",2015
125,Oshkosh-Neenah-WI,98,"1,32,29,66,004",169546,159,2015
126,Roanoke-VA,98,"63,75,77,872",314560,273,2015
127,Racine-WI,97,"1,23,35,44,964",195080,690,2015
129,Stockton-CA,94,"1,49,34,34,704",726106,673,2015
130,Port St. Lucie-FL,93,"26,46,40,698",454846,651,2015
131,Lansing-East Lansing-MI,93,"85,24,77,155",472276,"1,046",2015
132,Charlottesville-VA,92,"16,75,98,292",229514,376,2015
133,Erie-PA,91,"1,48,25,44,803",278045,651,2015
135,Logan-UT-ID,89,"45,30,19,577",133857,939,2015
136,Honolulu-HI,88,"44,64,46,230",998714,681,2015
137,Bakersfield-Delano-CA,85,"2,69,68,24,011",882176,"4,908",2015
138,Iowa City-IA,85,"30,80,26,572",166498,741,2015
139,Cape Coral-Fort Myers-FL,85,"48,73,43,008",701982,"2,488",2015
140,Kennewick-Pasco-Richland-WA,84,"58,39,47,585",279116,"1,452",2015
141,Ames-IA,84,"26,17,11,810",96021,136,2015
143,Baton Rouge-LA,82,"6,50,53,72,388",830480,"3,925",2015
144,Naples-Marco Island-FL,81,"25,31,55,165",357305,"11,172",2015
146,Eugene-Springfield-OR,79,"40,01,80,558",362895,"1,166",2015
147,Kingston-NY,77,"22,64,85,159",180143,"3,555",2015
148,Davenport-Moline-Rock Island-IA-IL,76,"5,71,17,86,878",383606,"1,445",2015
149,Kingsport-Bristol-Bristol-TN-VA,75,"4,62,31,91,347",307120,304,2015
150,Elmira-NY,75,"18,38,90,858",87071,159,2015
151,Fargo-ND-MN,75,"54,32,20,635",233836,581,2015
152,Salinas-CA,74,"87,16,23,209",433898,"1,529",2015
154,State College-PA,72,"22,53,93,387",160580,167,2015
155,Lincoln-NE,72,"1,18,92,68,672",323578,"5,334",2015
156,Fresno-CA,72,"2,68,17,14,018",974861,541,2015
158,College Station-Bryan-TX,67,"12,25,44,184",249156,779,2015
159,Vallejo-Fairfield-CA,67,"56,46,03,147",436092,452,2015
163,Deltona-Daytona Beach-Ormond Beach-FL,62,"41,94,07,171",623279,"2,767",2015
165,Reading-PA,61,"1,77,79,49,004",415271,"1,400",2015
166,Little Rock-North Little Rock-Conway-AR,61,"1,77,74,76,431",731612,82,2015
167,Dubuque-IA,61,"13,65,38,302",97125,181,2015
168,Spartanburg-SC,60,"2,04,12,72,811",325079,"1,665",2015
169,Saginaw-Saginaw Township North-MI,60,"1,12,88,55,191",193307,985,2015
170,Sheboygan-WI,60,"68,56,07,432",115569,402,2015
171,Asheville-NC,57,"1,14,44,29,613",446840,897,2015
173,Bellingham-WA,56,"2,04,49,36,512",212284,412,2015
176,Tallahassee-FL,52,"19,11,54,966",377924,"11,383",2015
177,Barnstable Town-MA,52,"11,21,71,588",214333,"1,114",2015
179,Medford-OR,51,"23,26,38,877",212567,"13,870",2015
181,Athens-Clarke County-GA,49,"32,73,77,113",203189,654,2015
182,Waterloo-Cedar Falls-IA,49,"30,57,60,067",170612,220,2015
183,Pensacola-Ferry Pass-Brent-FL,48,"1,17,10,14,743",478043,"1,323",2015
184,Elkhart-Goshen-IN,47,"1,53,22,99,116",203474,812,2015
185,Lynchburg-VA,46,"52,21,48,273",259950,728,2015
186,Chattanooga-TN-GA,45,"1,20,05,83,273",547776,"2,908",2015
188,Corpus Christi-TX,45,"5,18,79,06,808",452422,"2,737",2015
189,Olympia-WA,43,"21,96,61,140",269536,"2,976",2015
190,Eau Claire-WI,43,"81,32,26,417",165636,214,2015
191,Napa-CA,43,"36,10,41,312",142456,"1,025",2015
193,Green Bay-WI,42,"96,81,35,029",316519,"2,974",2015
194,Sioux Falls-SD,42,"37,50,40,750",251854,"1,114",2015
195,Mankato-North Mankato-MN,41,"26,16,23,299",99134,308,2015
196,Lakeland-Winter Haven-FL,40,"1,31,85,58,893",650092,968,2015
197,Utica-Rome-NY,40,"71,25,79,244",295600,"2,063",2015
198,Janesville-WI,39,"96,60,51,019",161448,391,2015
200,Manhattan-KS,39,"8,93,46,483",98545,151,2015
201,Glens Falls-NY,38,"24,71,80,985",126918,610,2015
202,Sebastian-Vero Beach-FL,38,"12,34,31,672",147919,300,2015
204,Kokomo-IN,36,"1,55,92,56,124",82556,160,2015
206,Modesto-CA,36,"1,98,60,73,400",538388,"2,051",2015
207,Pittsfield-MA,36,"53,78,52,234",127828,221,2015
209,Coeur d'Alene-ID,35,"20,30,70,013",150346,389,2015
210,Idaho Falls-ID,34,"30,76,71,222",139747,"12,841",2015
211,El Paso-TX,34,"24,56,08,86,770",838972,"2,995",2015
213,Beaumont-Port Arthur-TX,34,"8,79,45,39,655",408419,"2,123",2015
214,Savannah-GA,34,"5,44,74,96,914",379199,"12,130",2015
215,Duluth-MN-WI,34,"57,43,59,023",279601,680,2015
218,Morgantown-WV,32,"7,15,60,683",138176,420,2015
219,Shreveport-Bossier City-LA,30,"54,81,72,101",443708,453,2015
220,Prescott-AZ,30,"5,09,66,561",222255,"5,380",2015
221,Johnson City-TN,28,"13,06,53,145",200648,258,2015
225,Battle Creek-MI,27,"1,08,50,98,905",134314,753,2015
227,Anchorage-AK,26,"42,18,99,263",399790,"3,295",2015
229,Sioux City-IA-NE-SD,25,"1,33,07,28,405",169069,917,2015
230,Fond du Lac-WI,25,"58,31,00,917",101973,660,2015
231,Ocala-FL,25,"14,22,22,781",343254,218,2015
232,Lubbock-TX,25,"33,08,84,314",311154,466,2015
233,Joplin-MO,25,"25,44,67,077",177211,557,2015
235,St. George-UT,25,"4,19,58,952",155602,490,2015
237,Jonesboro-AR,25,"9,72,08,024",128394,584,2015
