,MSA,patents,exports,population,crime,Year
212,Shreveport-Bossier City-LA,30,"35,06,72,563",446471,"2,377",2013
213,Manhattan-KS,30,"3,03,74,597",98085,191,2013
215,El Paso-TX,29,"14,35,97,48,977",831036,"2,925",2013
217,Tyler-TX,28,"21,96,20,711",216080,600,2013
218,Sebastian-Vero Beach-FL,28,"13,81,87,666",141994,419,2013
219,Kankakee-Bradley-IL,28,"67,49,94,683",112120,342,2013
221,Duluth-MN-WI,27,"69,09,24,327",279887,654,2013
222,Bangor-ME,27,"10,94,95,697",153364,140,2013
223,Lubbock-TX,26,"53,67,64,889",301038,"1,979",2013
224,Joplin-MO,26,"24,07,95,003",175243,521,2013
225,Bay City-MI,26,"20,33,56,495",106832,316,2013
226,Houma-Bayou Cane-Thibodaux-LA,25,"69,51,58,952",209890,626,2013
227,Fond du Lac-WI,24,"58,21,55,629",101798,200,2013
228,Prescott-AZ,24,"4,11,82,101",215133,525,2013
229,St. George-UT,24,"5,35,08,430",147800,203,2013
231,Johnson City-TN,23,"12,87,01,987",200966,660,2013
232,Beaumont-Port Arthur-TX,23,"8,24,37,40,130",404872,"2,177",2013
233,La Crosse-WI-MN,23,"67,20,63,857",135512,167,2013
234,Sioux City-IA-NE-SD,22,"1,50,86,25,712",168714,416,2013
236,Medford-OR,22,"15,54,49,432",208545,732,2013
237,Coeur d'Alene-ID,22,"74,26,58,561",144265,459,2013
238,Grand Junction-CO,22,"15,47,34,287",147554,464,2013
239,Winchester-VA-WV,22,"35,27,41,202",131980,244,2013
240,Waco-TX,22,"35,30,27,675",258974,873,2013
241,Corpus Christi-TX,21,"5,14,47,52,585",442600,"2,314",2013
243,Lebanon-PA,21,"34,78,24,981",135486,243,2013
244,Glens Falls-NY,20,"27,02,00,677",128430,126,2013
245,Macon-GA,20,"19,08,03,840",231259,900,2013
246,Chico-CA,20,"26,69,01,572",222090,634,2013
249,Savannah-GA,19,"5,43,64,38,068",366047,"1,158",2013
251,Wausau-WI,19,"29,96,96,102",135416,124,2013
252,Grand Forks-ND-MN,18,"23,78,39,349",100748,210,2013
253,Punta Gorda-FL,17,"3,32,43,790",164736,390,2013
254,Montgomery-AL,17,"1,67,30,75,727",373510,"2,698",2013
255,Myrtle Beach-North Myrtle Beach-Conway-SC,17,"36,73,91,856",404951,"1,937",2013
257,Topeka-KS,17,"30,33,23,394",234203,807,2013
258,Panama City-Lynn Haven-Panama City Beach-FL,16,"27,55,08,283",190816,977,2013
259,Sherman-Denison-TX,16,"43,55,30,952",122353,324,2013
261,St. Cloud-MN,16,"33,70,24,066",191306,322,2013
262,Las Cruces-NM,16,"43,29,90,135",213460,686,2013
263,Visalia-Porterville-CA,16,"1,17,86,63,294",454143,"2,151",2013
264,St. Joseph-MO-KS,16,"86,77,47,535",127767,462,2013
266,Muskegon-Norton Shores-MI,15,"67,81,94,571",171008,800,2013
267,Mount Vernon-Anacortes-WA,15,"1,68,25,94,638",118837,254,2013
268,Odessa-TX,15,"13,70,59,164",149378,"1,189",2013
269,Lake Charles-LA,15,"5,66,17,22,274",202040,"1,205",2013
270,Muncie-IN,15,"47,54,73,497",117484,323,2013
271,Parkersburg-Marietta-Vienna-WV-OH,14,"90,45,29,937",92470,260,2013
272,San Juan-Caguas-Guaynabo-PR,14,"19,26,56,68,417",2284266,"7,143",2013
273,Atlantic City-Hammonton-NJ,14,"4,82,35,686",275862,"1,225",2013
275,Yuba City-CA,14,"34,01,97,131",168690,516,2013
277,Gulfport-Biloxi-MS,13,"5,15,66,85,178",382516,"1,070",2013
278,Amarillo-TX,13,"58,07,14,616",258196,"1,365",2013
282,Owensboro-KY,13,"8,05,87,304",116401,161,2013
284,Hagerstown-Martinsburg-MD-WV,12,"29,61,51,899",258294,600,2013
286,Missoula-MT,12,"6,49,10,650",111807,301,2013
287,Terre Haute-IN,12,"32,16,47,293",172195,258,2013
288,Dover-DE,12,"5,62,52,667",169416,774,2013
289,Johnstown-PA,12,"9,87,90,437",140499,253,2013
291,Crestview-Fort Walton Beach-Destin-FL,11,"12,02,94,242",253618,"1,044",2013
292,Redding-CA,11,"8,96,55,637",178980,"1,150",2013
294,Pueblo-CO,11,"17,88,86,581",161451,"1,063",2013
295,Billings-MT,11,"13,97,99,508",165361,439,2013
296,Mansfield-OH,11,"34,34,96,382",121773,226,2013
297,Rocky Mount-NC,11,"1,05,74,79,242",150667,797,2013
299,Williamsport-PA,10,"25,23,59,106",116754,201,2013
300,Yakima-WA,10,"1,23,68,03,093",247044,719,2013
305,Altoona-PA,10,"26,22,80,208",126314,268,2013
306,Merced-CA,10,"96,06,48,228",263228,"1,555",2013
307,Cheyenne-WY,10,"2,88,58,986",95809,198,2013
308,Brownsville-Harlingen-TX,10,"4,62,17,41,351",417276,"1,009",2013
309,Anniston-Oxford-AL,10,"19,27,07,976",116736,622,2013
310,Bowling Green-KY,9,"53,68,65,454",163536,236,2013
311,Rapid City-SD,9,"2,95,18,645",141431,517,2013
312,Carson City-NV,9,"13,92,74,285",54080,133,2013
313,Yuma-AZ,9,"46,02,74,194",201201,808,2013
314,Madera-Chowchilla-CA,8,"37,65,01,582",152389,"1,017",2013
315,Salisbury-MD,8,"1,17,69,41,287",385438,"1,706",2013
316,Hot Springs-AR,8,"6,14,66,181",97173,459,2013
317,Hanford-Corcoran-CA,8,"51,28,18,992",150960,725,2013
318,Fort Smith-AR-OK,7,"49,79,83,981",279974,"1,122",2013
319,Dalton-GA,7,"48,00,57,669",142212,335,2013
321,McAllen-Edinburg-Mission-TX,7,"5,26,54,88,806",815996,"2,349",2013
324,Morristown-TN,6,"29,69,97,540",115197,368,2013
325,Clarksville-TN-KY,6,"31,58,91,247",272579,"1,028",2013
326,Elizabethtown-KY,6,"22,34,74,556",151465,118,2013
327,Jonesboro-AR,6,"13,97,14,470",125633,440,2013
329,Pocatello-ID,6,"16,62,52,089",83249,242,2013
330,Wichita Falls-TX,5,"23,51,68,706",151201,509,2013
331,Lake Havasu City-Kingman-AZ,5,"25,22,19,194",203030,425,2013
332,Pascagoula-MS,5,"5,15,66,85,178",382516,"1,070",2013
333,Cape Girardeau-Jackson-MO-IL,5,"13,25,06,915",97439,478,2013
334,Brunswick-GA,5,"60,28,07,941",113807,,2013
335,Ocean City-NJ,5,"3,06,83,907",95897,251,2013
338,Harrisonburg-VA,4,"38,30,92,924",129136,166,2013
341,Dothan-AL,4,"37,46,66,514",147691,575,2013
342,Sumter-SC,4,"18,74,04,120",108123,730,2013
343,Victoria-TX,4,"15,93,08,771",97493,485,2013
344,Gadsden-AL,4,"5,45,76,362",103931,576,2013
345,Casper-WY,4,"13,72,49,290",80973,169,2013
347,Goldsboro-NC,4,"12,53,84,101",124583,482,2013
348,Lawton-OK,4,"1,43,87,179",131089,950,2013
350,Bismarck-ND,3,"11,90,62,806",123751,494,2013
351,Vineland-Millville-Bridgeton-NJ,3,"38,72,13,653",157332,854,2013
353,Fairbanks-AK,3,"3,66,79,047",100436,237,2013
355,Jefferson City-MO,2,"20,85,70,746",150494,426,2013
356,"Texarkana-TX-Texarkana, AR",2,"15,78,26,151",149619,839,2013
357,Lima-OH,2,"59,48,77,328",105298,397,2013
359,Cumberland-MD-WV,2,"4,48,43,585",101225,292,2013
360,El Centro-CA,2,"3,22,99,76,843",176584,517,2013
361,Laredo-TX,2,"5,56,92,72,628",262495,"1,133",2013
362,Abilene-TX,1,"6,69,58,538",167501,560,2013
363,Warner Robins-GA,1,"13,76,40,326",186214,700,2013
364,Aguadilla-Isabela-San Sebasti�n-PR,1,"66,51,71,086",328531,372,2013
365,Great Falls-MT,1,"7,20,22,510",82384,184,2013
366,San Angelo-TX,1,"19,30,69,947",116566,299,2013
369,Hinesville-Fort Stewart-GA,0,"39,26,49,054",80759,230,2013
370,Ponce-PR,0,"54,93,30,985",333527,655,2013
372,Guayama-PR,0,"24,05,77,276",82061,204,2013
