,MSA,patents,exports,population,crime,Year
1,San Jose-Sunnyvale-Santa Clara-CA,12899,"23,41,31,32,525",1919641,"4,783",2013
6,San Diego-Carlsbad-San Marcos-CA,4805,"17,88,55,18,128",3211252,"11,177",2013
9,Minneapolis-St. Paul-Bloomington-MN-WI,3445,"23,74,74,51,055",3459146,"9,462",2013
12,Austin-Round Rock-San Marcos-TX,2683,"8,87,08,43,552",1883051,"5,091",2013
13,Houston-Sugar Land-Baytown-TX,2655,"1,14,96,25,66,720",6313158,"35,111",2013
15,Atlanta-Sandy Springs-Marietta-GA,2232,"18,82,78,66,222",5522942,"21,396",2013
18,Phoenix-Mesa-Glendale-AZ,1543,"11,47,35,32,187",4398762,"17,204",2013
20,Raleigh-Cary-NC,1384,"2,28,05,55,122",1214516,"2,629",2013
22,Denver-Aurora-Broomfield-CO,1064,"3,61,83,75,859",2697476,"8,847",2013
23,Cincinnati-Middletown-OH-KY-IN,1038,"20,97,63,69,321",2137406,"5,941",2013
24,Kansas City-MO-KS,916,"8,01,20,92,691",2054473,"9,595",2013
25,Pittsburgh-PA,902,"10,44,44,16,083",2360867,"6,869",2013
27,St. Louis-MO-IL,850,"12,39,36,02,643",2801056,"11,911",2013
28,Boise City-Nampa-ID,832,"3,65,79,06,129",650288,"1,452",2013
30,Baltimore-Towson-MD,786,"5,89,03,64,597",2770738,"17,552",2013
31,Bremerton-Silverdale-WA,785,"8,45,13,463",253968,707,2013
33,Boulder-CO,768,"1,04,59,62,791",310048,544,2013
34,Ann Arbor-MI,734,"1,15,61,82,132",354240,"1,079",2013
35,Hartford-West Hartford-East Hartford-CT,703,"10,15,22,45,431",1215211,"2,706",2013
36,Bridgeport-Stamford-Norwalk-CT,699,"11,05,51,61,841",939904,"2,252",2013
37,Indianapolis-Carmel-IN,663,"9,74,74,98,789",1953961,,2013
38,Milwaukee-Waukesha-West Allis-WI,644,"8,87,46,32,795",1569659,"9,176",2013
39,Worcester-MA,640,"3,39,35,50,202",926710,"3,562",2013
40,Santa Cruz-Watsonville-CA,632,"88,85,59,108",269419,"1,002",2013
41,Tampa-St. Petersburg-Clearwater-FL,596,"6,67,30,44,350",2870569,"11,388",2013
42,Salt Lake City-UT,584,"11,86,71,71,920",1140483,"4,071",2013
44,Tucson-AZ,567,"2,58,98,85,607",996554,"4,334",2013
46,Oxnard-Thousand Oaks-Ventura-CA,551,"2,89,39,10,501",839620,"1,629",2013
47,New Haven-Milford-CT,536,"1,90,39,03,105",862287,"3,112",2013
48,Providence-New Bedford-Fall River-RI-MA,511,"6,60,90,35,833",1604291,"5,428",2013
50,Sacramento--Arden-Arcade--Roseville-CA,505,"5,77,70,52,921",2215770,"9,207",2013
51,Trenton-Ewing-NJ,484,"87,91,64,279",370414,"1,518",2013
53,Riverside-San Bernardino-Ontario-CA,463,"9,56,89,51,813",4380878,"14,637",2013
54,Madison-WI,452,"2,29,21,09,492",627431,"1,358",2013
55,San Antonio-New Braunfels-TX,448,"19,28,76,45,505",2277550,"10,436",2013
57,Las Vegas-Paradise-NV,415,"2,00,82,18,342",2027868,"13,735",2013
58,Orlando-Kissimmee-Sanford-FL,405,"3,22,76,97,744",2267846,"12,171",2013
59,Akron-OH,402,"3,54,45,00,989",705686,"2,003",2013
61,Palm Bay-Melbourne-Titusville-FL,383,"98,42,85,702",550823,"2,889",2013
62,Provo-Orem-UT,375,"2,78,92,25,202",562239,394,2013
63,Fort Collins-Loveland-CO,369,"98,61,45,083",315988,646,2013
64,Santa Barbara-Santa Maria-Goleta-CA,367,"1,15,26,01,847",435697,"1,416",2013
65,Reno-Sparks-NV,367,"2,11,73,98,703",437673,"1,657",2013
66,Allentown-Bethlehem-Easton-PA-NJ,358,"2,94,98,90,351",827048,"1,536",2013
67,Manchester-Nashua-NH,353,"1,44,57,69,813",403985,"1,118",2013
68,Memphis-TN-MS-AR,311,"11,27,63,92,594",1341746,"13,260",2013
69,Buffalo-Niagara Falls-NY,292,"4,37,65,50,348",1134115,"4,883",2013
70,Albuquerque-NM,280,"1,38,96,43,068",902797,"5,927",2013
71,Des Moines-West Des Moines-IA,276,"1,27,93,57,227",599789,"1,597",2013
72,Syracuse-NY,248,"1,75,33,33,240",661934,"1,710",2013
73,Greeley-CO,247,"1,28,74,77,381",269785,782,2013
74,Nashville-Davidson--Murfreesboro--Franklin-TN,239,"8,70,28,30,825",1757912,"10,405",2013
75,Peoria-IL,233,"12,18,44,65,636",382114,"1,252",2013
77,Louisville/Jefferson County-KY-IN,231,"8,89,80,05,116",1262261,,2013
78,Colorado Springs-CO,226,"1,06,53,98,660",678319,"2,496",2013
80,Knoxville-TN,222,"2,98,52,18,321",852715,"2,999",2013
81,Huntsville-AL,218,"1,51,86,88,622",435737,"2,101",2013
82,Santa Rosa-Petaluma-CA,217,"1,04,48,46,642",495025,"1,782",2013
83,Grand Rapids-Wyoming-MI,206,"5,31,47,50,839",1016603,"3,039",2013
84,Corvallis-OR,188,"26,84,04,399",86591,104,2013
85,Cedar Rapids-IA,184,"93,02,26,158",262421,493,2013
86,Tulsa-OK,182,"3,81,80,02,775",961561,"4,962",2013
90,Champaign-Urbana-IL,165,"1,02,95,99,191",235162,"1,109",2013
91,Greensboro-High Point-NC,157,"4,27,82,74,340",741065,"2,554",2013
92,Canton-Massillon-OH,156,"1,28,88,28,903",403707,"1,073",2013
93,Omaha-Council Bluffs-NE-IA,156,"4,25,58,72,085",895151,"3,457",2013
95,Toledo-OH,152,"3,35,58,58,688",608145,"3,165",2013
96,Oklahoma City-OK,152,"1,58,16,77,740",1319677,"6,617",2013
98,Ogden-Clearfield-UT,151,"1,31,00,01,755",621580,"1,013",2013
99,North Port-Bradenton-Sarasota-FL,151,"86,97,37,406",732535,"3,075",2013
102,Virginia Beach-Norfolk-Newport News-VA-NC,141,"2,53,91,91,691",1707369,"5,174",2013
103,Rockford-IL,140,"2,52,62,46,205",344623,"2,394",2013
104,Port St. Lucie-FL,139,"24,01,51,660",438095,"1,470",2013
106,Winston-Salem-NC,132,"1,66,01,46,357",650820,"2,411",2013
107,Niles-Benton Harbor-MI,132,"47,98,52,085",155252,694,2013
108,New Orleans-Metairie-Kenner-LA,131,"30,03,09,36,867",1240977,"5,872",2013
111,Lancaster-PA,121,"1,06,23,89,384",529600,905,2013
112,Fort Wayne-IN,119,"1,44,18,13,137",424122,"1,109",2013
113,Appleton-WI,118,"94,65,56,681",229962,285,2013
114,Spokane-WA,117,"86,23,85,928",535724,"1,963",2013
115,Oshkosh-Neenah-WI,116,"1,34,29,75,737",169541,270,2013
116,Binghamton-NY,112,"38,85,09,159",247777,536,2013
119,Norwich-New London-CT,108,"23,31,50,667",274150,555,2013
120,Flint-MI,108,"47,45,66,363",415376,"3,003",2013
122,South Bend-Mishawaka-IN-MI,104,"1,52,21,22,153",318619,966,2013
123,Erie-PA,102,"1,80,80,60,813",280294,684,2013
126,Tallahassee-FL,96,"12,25,02,739",373255,"2,203",2013
127,Charlottesville-VA,94,"23,18,22,428",224055,430,2013
128,State College-PA,93,"21,80,49,238",155403,144,2013
129,Birmingham-Hoover-AL,92,"1,86,52,68,570",1140300,"5,822",2013
131,San Luis Obispo-Paso Robles-CA,89,"27,77,02,482",276443,"1,069",2013
132,Salinas-CA,89,"92,96,71,992",428826,"1,794",2013
133,Lansing-East Lansing-MI,88,"86,48,91,309",467321,"1,815",2013
135,Blacksburg-Christiansburg-Radford-VA,87,"75,33,77,846",180351,314,2013
137,Naples-Marco Island-FL,86,"24,23,89,296",339642,785,2013
138,Kingston-NY,84,"22,52,67,079",180998,294,2013
139,Eugene-Springfield-OR,84,"47,60,21,749",356212,684,2013
140,Lincoln-NE,84,"81,84,27,565",314125,"1,031",2013
141,Fargo-ND-MN,84,"81,79,04,416",223490,568,2013
142,Davenport-Moline-Rock Island-IA-IL,80,"7,14,11,95,616",383681,"1,366",2013
143,Stockton-CA,80,"1,29,47,48,451",704379,"4,980",2013
144,Baton Rouge-LA,77,"6,26,14,61,529",820159,"4,120",2013
145,Ames-IA,77,"25,33,33,934",92406,127,2013
146,Kingsport-Bristol-Bristol-TN-VA,76,"5,62,16,82,913",308283,972,2013
147,Cape Coral-Fort Myers-FL,76,"44,26,09,535",661115,"2,184",2013
148,Fresno-CA,73,"3,06,67,46,523",955272,"4,868",2013
149,Racine-WI,71,"1,63,21,73,912",195041,354,2013
150,Kennewick-Pasco-Richland-WA,69,"73,95,46,553",271124,603,2013
151,Elmira-NY,69,"16,78,39,892",88506,151,2013
153,Bakersfield-Delano-CA,66,"3,67,01,83,382",864124,"4,969",2013
154,Iowa City-IA,65,"32,78,97,182",161170,473,2013
155,Deltona-Daytona Beach-Ormond Beach-FL,65,"38,01,06,308",600756,"2,345",2013
157,Vallejo-Fairfield-CA,63,"56,43,31,629",424788,"2,001",2013
160,Idaho Falls-ID,61,"32,29,42,192",137073,218,2013
161,College Station-Bryan-TX,60,"10,86,61,954",236819,881,2013
163,Kokomo-IN,58,"1,71,49,77,349",82760,218,2013
164,Saginaw-Saginaw Township North-MI,58,"1,34,10,81,499",196542,"1,490",2013
165,Augusta-Richmond County-GA-SC,58,"1,28,37,94,951",580270,"1,632",2013
166,Logan-UT-ID,57,"40,00,67,706",129763,72,2013
169,Roanoke-VA,56,"74,64,97,864",311835,742,2013
170,Scranton--Wilkes-Barre-PA,54,"1,33,18,89,302",562037,"1,275",2013
172,Reading-PA,53,"1,65,29,91,633",413521,"1,222",2013
173,Little Rock-North Little Rock-Conway-AR,52,"2,49,74,79,099",724385,"4,685",2013
174,Flagstaff-AZ,52,"25,36,15,256",136539,451,2013
175,Sioux Falls-SD,52,"43,29,68,806",243513,705,2013
176,Lynchburg-VA,51,"50,31,25,761",256455,491,2013
178,Olympia-WA,50,"24,80,94,538",262388,518,2013
181,Chattanooga-TN-GA,47,"1,79,00,10,221",541744,"2,759",2013
184,Dubuque-IA,46,"15,01,58,191",95697,153,2013
186,Modesto-CA,45,"1,77,87,96,571",525491,"2,716",2013
188,Ocala-FL,45,"16,09,23,603",337362,"1,453",2013
189,Janesville-WI,44,"82,14,25,846",160739,368,2013
190,Spartanburg-SC,43,"2,28,85,19,417",318999,"1,479",2013
193,Barnstable Town-MA,40,"11,41,12,596",214990,941,2013
194,Sheboygan-WI,40,"62,81,22,626",114922,163,2013
196,Athens-Clarke County-GA,38,"28,60,12,297",197905,534,2013
197,Lawrence-KS,38,"7,91,82,956",114322,371,2013
198,Pensacola-Ferry Pass-Brent-FL,37,"1,22,62,72,753",466913,"2,379",2013
199,Green Bay-WI,37,"91,47,65,475",312409,622,2013
201,Lakeland-Winter Haven-FL,36,"1,90,71,54,200",623009,"2,287",2013
202,Napa-CA,35,"31,77,17,188",140326,417,2013
203,Anchorage-AK,34,"51,80,45,298",396142,"2,497",2013
205,Mankato-North Mankato-MN,33,"31,22,62,652",98560,179,2013
206,Mobile-AL,33,"1,54,95,26,091",414079,"2,426",2013
207,Pittsfield-MA,32,"46,74,86,462",129585,349,2013
208,Utica-Rome-NY,32,"71,33,52,307",297766,661,2013
210,Morgantown-WV,31,"5,38,75,982",136133,331,2013
211,Eau Claire-WI,30,"79,38,50,603",164570,205,2013
