"MSA","Year","gdp"
"Grand Rapids-Wyoming, MI","2015","56,275"
"Grants Pass, OR","2015","2,242"
"Great Falls, MT","2015","3,414"
"Greeley, CO","2015","11,373"
"Green Bay, WI","2015","18,336"
"Greensboro-High Point, NC","2015","40,228"
"Greenville, NC","2015","7,735"
"Greenville-Anderson-Mauldin, SC","2015","39,122"
"Gulfport-Biloxi-Pascagoula, MS","2015","16,487"
"Hagerstown-Martinsburg, MD-WV","2015","9,398"
"Hammond, LA","2015","3,736"
"Hanford-Corcoran, CA","2015","5,090"
"Harrisburg-Carlisle, PA","2015","35,209"
"Harrisonburg, VA","2015","7,901"
"Hartford-West Hartford-East Hartford, CT","2015","88,387"
"Hattiesburg, MS","2015","5,768"
"Hickory-Lenoir-Morganton, NC","2015","13,121"
"Hilton Head Island-Bluffton-Beaufort, SC","2015","8,645"
"Hinesville, GA","2015","3,435"
"Homosassa Springs, FL","2015","3,045"
"Hot Springs, AR","2015","3,028"
"Houma-Thibodaux, LA","2015","10,699"
"Houston-The Woodlands-Sugar Land, TX","2015","4,94,837"
"Huntington-Ashland, WV-KY-OH","2015","14,746"
"Huntsville, AL","2015","24,153"
"Idaho Falls, ID","2015","6,192"
"Indianapolis-Carmel-Anderson, IN","2015","1,30,825"
"Iowa City, IA","2015","9,786"
"Ithaca, NY","2015","4,968"
"Jackson, MI","2015","5,929"
"Jackson, MS","2015","28,842"
"Jackson, TN","2015","5,900"
"Jacksonville, FL","2015","68,810"
"Jacksonville, NC","2015","7,728"
"Janesville-Beloit, WI","2015","6,065"
"Jefferson City, MO","2015","7,129"
"Johnson City, TN","2015","6,691"
"Johnstown, PA","2015","4,221"
"Jonesboro, AR","2015","4,966"
"Joplin, MO","2015","7,228"
"Kahului-Wailuku-Lahaina, HI","2015","8,520"
"Kalamazoo-Portage, MI","2015","15,714"
"Kankakee, IL","2015","4,181"
"Kansas City, MO-KS","2015","1,25,765"
"Kennewick-Richland, WA","2015","12,642"
"Killeen-Temple, TX","2015","16,883"
"Kingsport-Bristol-Bristol, TN-VA","2015","11,687"
"Kingston, NY","2015","5,918"
"Knoxville, TN","2015","38,343"
"Kokomo, IN","2015","4,612"
"La Crosse-Onalaska, WI-MN","2015","6,981"
"Lafayette, LA","2015","23,776"
"Lafayette-West Lafayette, IN","2015","9,741"
"Lake Charles, LA","2015","15,784"
"Lake Havasu City-Kingman, AZ","2015","4,055"
"Lakeland-Winter Haven, FL","2015","19,611"
"Lancaster, PA","2015","27,577"
"Lansing-East Lansing, MI","2015","20,997"
"Laredo, TX","2015","8,015"
"Las Cruces, NM","2015","6,789"
"Las Vegas-Henderson-Paradise, NV","2015","1,03,734"
"Lawrence, KS","2015","4,249"
"Lawton, OK","2015","5,063"
"Lebanon, PA","2015","4,836"
"Lewiston, ID-WA","2015","2,312"
"Lewiston-Auburn, ME","2015","3,947"
"Lexington-Fayette, KY","2015","27,704"
"Lima, OH","2015","5,493"
"Lincoln, NE","2015","19,076"
"Little Rock-North Little Rock-Conway, AR","2015","37,284"
"Logan, UT-ID","2015","4,824"
"Longview, TX","2015","10,545"
"Longview, WA","2015","4,023"
"Los Angeles-Long Beach-Anaheim, CA","2015","9,67,100"
"Louisville/Jefferson County, KY-IN","2015","71,699"
"Lubbock, TX","2015","12,935"
"Lynchburg, VA","2015","9,288"
"Macon, GA","2015","9,388"
"Madera, CA","2015","5,262"
"Madison, WI","2015","45,660"
"Manchester-Nashua, NH","2015","26,135"
"Manhattan, KS","2015","3,484"
"Mankato-North Mankato, MN","2015","5,049"
"Mansfield, OH","2015","4,297"
"McAllen-Edinburg-Mission, TX","2015","19,102"
"Medford, OR","2015","7,673"
"Memphis, TN-MS-AR","2015","69,318"
"Merced, CA","2015","8,008"
"Miami-Fort Lauderdale-West Palm Beach, FL","2015","3,15,624"
"Michigan City-La Porte, IN","2015","3,763"
"Midland, MI","2015","5,359"
"Midland, TX","2015","26,119"
"Milwaukee-Waukesha-West Allis, WI","2015","99,343"
"Minneapolis-St. Paul-Bloomington, MN-WI","2015","2,42,053"
"Missoula, MT","2015","5,044"
"Mobile, AL","2015","18,520"
"Modesto, CA","2015","19,377"
"Monroe, LA","2015","7,433"
"Monroe, MI","2015","4,652"
"Montgomery, AL","2015","16,778"
"Morgantown, WV","2015","7,461"
"Morristown, TN","2015","4,131"
"Mount Vernon-Anacortes, WA","2015","6,068"
"Muncie, IN","2015","3,761"
"Muskegon, MI","2015","5,640"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","2015","16,064"
"Napa, CA","2015","10,485"
"Naples-Immokalee-Marco Island, FL","2015","16,791"
"Nashville-Davidson--Murfreesboro--Franklin, TN","2015","1,18,024"
"New Bern, NC","2015","4,884"
"New Haven-Milford, CT","2015","42,503"
"New Orleans-Metairie, LA","2015","78,820"
"New York-Newark-Jersey City, NY-NJ-PA","2015","16,18,366"
"Niles-Benton Harbor, MI","2015","6,601"
"North Port-Sarasota-Bradenton, FL","2015","28,613"
"Norwich-New London, CT","2015","14,995"
"Ocala, FL","2015","7,875"
"Ocean City, NJ","2015","4,963"
"Odessa, TX","2015","10,065"
"Ogden-Clearfield, UT","2015","24,003"
"Oklahoma City, OK","2015","72,253"
"Olympia-Tumwater, WA","2015","10,909"
"Omaha-Council Bluffs, NE-IA","2015","61,444"
"Orlando-Kissimmee-Sanford, FL","2015","1,23,054"
"Oshkosh-Neenah, WI","2015","9,858"
"Owensboro, KY","2015","5,494"
"Oxnard-Thousand Oaks-Ventura, CA","2015","49,729"
"Palm Bay-Melbourne-Titusville, FL","2015","19,783"
"Panama City, FL","2015","8,189"
"Parkersburg-Vienna, WV","2015","4,178"
"Pensacola-Ferry Pass-Brent, FL","2015","16,913"
"Peoria, IL","2015","19,821"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","2015","4,18,605"
"Phoenix-Mesa-Scottsdale, AZ","2015","2,21,570"
"Pine Bluff, AR","2015","2,954"
"Pittsburgh, PA","2015","1,36,684"
"Pittsfield, MA","2015","6,685"
"Pocatello, ID","2015","2,602"
"Portland-South Portland, ME","2015","29,647"
"Portland-Vancouver-Hillsboro, OR-WA","2015","1,56,869"
"Port St. Lucie, FL","2015","12,849"
"Prescott, AZ","2015","5,485"
"Providence-Warwick, RI-MA","2015","78,520"
"Provo-Orem, UT","2015","21,843"
"Pueblo, CO","2015","4,796"
"Punta Gorda, FL","2015","3,942"
"Racine, WI","2015","7,917"
"Raleigh, NC","2015","75,777"
"Rapid City, SD","2015","6,331"
"Reading, PA","2015","18,889"
"Redding, CA","2015","5,930"
"Reno, NV","2015","23,359"
"Richmond, VA","2015","76,875"
"Riverside-San Bernardino-Ontario, CA","2015","1,44,079"
"Roanoke, VA","2015","15,099"
"Rochester, MN","2015","11,366"
"Rochester, NY","2015","54,854"
"Rockford, IL","2015","14,612"
"Rocky Mount, NC","2015","6,274"
"Rome, GA","2015","3,729"
"Sacramento--Roseville--Arden-Arcade, CA","2015","1,16,189"
"Saginaw, MI","2015","7,882"
"St. Cloud, MN","2015","9,311"
"St. George, UT","2015","4,673"
"St. Joseph, MO-KS","2015","5,362"
"St. Louis, MO-IL","2015","1,55,377"
"Salem, OR","2015","15,336"
"Salinas, CA","2015","22,508"
"Salisbury, MD-DE","2015","17,897"
"Salt Lake City, UT","2015","80,644"
"San Angelo, TX","2015","5,154"
"San Antonio-New Braunfels, TX","2015","1,15,020"
"San Diego-Carlsbad, CA","2015","2,11,807"
"San Francisco-Oakland-Hayward, CA","2015","4,45,124"
"San Jose-Sunnyvale-Santa Clara, CA","2015","2,37,832"
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","2015","14,222"
"Santa Cruz-Watsonville, CA","2015","12,846"
"Santa Fe, NM","2015","6,955"
"Santa Maria-Santa Barbara, CA","2015","25,208"
"Santa Rosa, CA","2015","26,531"
"Savannah, GA","2015","17,053"
"Scranton--Wilkes-Barre--Hazleton, PA","2015","22,769"
"Seattle-Tacoma-Bellevue, WA","2015","3,17,153"
"Sebastian-Vero Beach, FL","2015","5,222"
"Sebring, FL","2015","1,990"
"Sheboygan, WI","2015","6,008"
"Sherman-Denison, TX","2015","4,179"
"Shreveport-Bossier City, LA","2015","21,581"
"Sierra Vista-Douglas, AZ","2015","3,877"
"Sioux City, IA-NE-SD","2015","9,504"
"Sioux Falls, SD","2015","17,930"
"South Bend-Mishawaka, IN-MI","2015","13,583"
"Spartanburg, SC","2015","14,303"
"Spokane-Spokane Valley, WA","2015","23,549"
"Springfield, IL","2015","9,985"
"Springfield, MA","2015","26,616"
"Springfield, MO","2015","18,213"
"Springfield, OH","2015","4,270"
"State College, PA","2015","8,465"
"Staunton-Waynesboro, VA","2015","4,931"
"Stockton-Lodi, CA","2015","24,960"
"Sumter, SC","2015","3,669"
"Syracuse, NY","2015","32,271"
"Tallahassee, FL","2015","14,830"
"Tampa-St. Petersburg-Clearwater, FL","2015","1,35,569"
"Terre Haute, IN","2015","6,215"
"Texarkana, TX-AR","2015","5,167"
"The Villages, FL","2015","2,428"
"Toledo, OH","2015","32,670"
"Topeka, KS","2015","10,119"
"Trenton, NJ","2015","29,491"
"Tucson, AZ","2015","36,481"
"Tulsa, OK","2015","60,543"
"Tuscaloosa, AL","2015","11,205"
"Twin Falls, ID","2015","3,901"
"Tyler, TX","2015","14,049"
"Urban Honolulu, HI","2015","62,943"
"Utica-Rome, NY","2015","10,568"
"Valdosta, GA","2015","4,780"
"Vallejo-Fairfield, CA","2015","20,009"
"Victoria, TX","2015","5,171"
"Vineland-Bridgeton, NJ","2015","5,655"
"Virginia Beach-Norfolk-Newport News, VA-NC","2015","91,725"
"Visalia-Porterville, CA","2015","14,948"
"Waco, TX","2015","11,308"
"Walla Walla, WA","2015","2,751"
"Warner Robins, GA","2015","6,840"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","2015","4,91,779"
"Waterloo-Cedar Falls, IA","2015","9,361"
"Watertown-Fort Drum, NY","2015","6,166"
"Wausau, WI","2015","7,656"
"Weirton-Steubenville, WV-OH","2015","4,094"
"Wenatchee, WA","2015","4,586"
"Wheeling, WV-OH","2015","7,212"
"Wichita, KS","2015","32,081"
"Wichita Falls, TX","2015","6,425"
"Williamsport, PA","2015","4,956"
"Wilmington, NC","2015","13,484"
"Winchester, VA-WV","2015","6,294"
"Winston-Salem, NC","2015","28,677"
"Worcester, MA-CT","2015","40,311"
"Yakima, WA","2015","9,072"
"York-Hanover, PA","2015","17,964"
"Youngstown-Warren-Boardman, OH-PA","2015","19,806"
"Yuba City, CA","2015","5,544"
"Yuma, AZ","2015","6,357"
